Date,Open,High,Low,Close,Volume,Adj Close
2010-01-04,112.37,113.39,111.51,113.33,118944600,103.94
2010-01-05,113.26,113.68,112.85,113.63,111579900,104.21
2010-01-06,113.52,113.99,113.43,113.71,116074400,104.28
2010-01-07,113.5,114.33,113.18,114.19,131091100,104.72
2010-01-08,113.89,114.62,113.66,114.57,126402800,105.07
2010-01-11,115.08,115.13,114.24,114.73,106375700,105.22
2010-01-12,113.97,114.21,113.22,113.66,163333500,104.24
2010-01-13,113.95,114.94,113.37,114.62,161822000,105.12
2010-01-14,114.49,115.14,114.42,114.93,115718800,105.4
2010-01-15,114.73,114.84,113.2,113.64,212283100,104.22
2010-01-19,113.62,115.13,113.59,115.06,139172700,105.52
2010-01-20,114.28,114.45,112.98,113.89,216490200,104.45
2010-01-21,113.92,114.27,111.56,111.7,344859600,102.44
2010-01-22,111.2,111.74,109.09,109.21,345942400,100.16
2010-01-25,110.21,110.41,109.41,109.77,186937500,100.67
2010-01-26,109.34,110.47,109.04,109.31,211168800,100.25
2010-01-27,109.17,110.08,108.33,109.83,271863600,100.73
2010-01-28,110.19,110.25,107.91,108.57,316104000,99.57
2010-01-29,109.04,109.8,107.22,107.39,310677600,98.49
2010-02-01,108.15,109.07,107.5,109.06,187865000,100.02
2010-02-02,109.26,110.59,108.88,110.38,216327900,101.23
2010-02-03,109.88,110.48,109.51,109.83,172730700,100.73
2010-02-04,108.98,109.03,106.42,106.44,356715700,97.62
2010-02-05,106.56,106.88,104.58,106.66,493585800,97.82
2010-02-08,106.74,107.33,105.81,105.89,224166900,97.11
2010-02-09,107.13,108.15,106.27,107.22,337820500,98.33
2010-02-10,107.05,107.6,106.11,107.01,240511500,98.14
2010-02-11,106.87,108.25,106.25,108.13,223591600,99.17
2010-02-12,106.99,108.1,106.51,108.04,304622100,99.08
2010-02-16,108.86,109.85,107.82,109.74,159317500,100.64
2010-02-17,110.27,110.41,109.74,110.26,168845100,101.12
2010-02-18,110.08,111.14,110.04,110.91,193708600,101.72
2010-02-19,110.62,111.57,110.36,111.14,222684900,101.93
2010-02-22,111.55,111.58,110.83,111.16,132346900,101.95
2010-02-23,110.86,111.2,109.52,109.81,207497000,100.71
2010-02-24,110.14,111.0,109.86,110.82,176350700,101.63
2010-02-25,109.24,110.75,108.94,110.67,259634700,101.5
2010-02-26,110.77,111.12,110.11,110.74,173589300,101.56
2010-03-01,111.2,112.0,111.17,111.89,147709700,102.62
2010-03-02,112.37,112.74,112.0,112.2,160992400,102.9
2010-03-03,112.49,112.97,112.02,112.3,150785000,102.99
2010-03-04,112.45,112.8,112.03,112.64,135770400,103.3
2010-03-05,113.37,114.34,113.1,114.25,176118800,104.78
2010-03-08,114.26,114.52,114.07,114.27,114631200,104.8
2010-03-09,113.93,114.99,113.87,114.46,154556700,104.97
2010-03-10,114.51,115.28,114.41,114.97,186088800,105.44
2010-03-11,114.7,115.48,114.35,115.45,160791100,105.88
2010-03-12,115.95,115.97,115.14,115.46,162074800,105.89
2010-03-15,115.26,115.57,114.6,115.49,146816800,105.92
2010-03-16,115.81,116.52,115.49,116.41,168673000,106.76
2010-03-17,116.76,117.48,116.42,117.1,177468100,107.39
2010-03-18,117.11,117.27,116.57,117.04,196509100,107.34
2010-03-19,115.97,117.29,115.52,115.97,226641100,106.79
2010-03-22,115.31,116.8,115.24,116.59,184477800,107.37
2010-03-23,116.76,117.51,116.38,117.41,182941600,108.12
2010-03-24,116.97,117.43,115.58,116.84,196072600,107.6
2010-03-25,117.63,118.17,116.51,116.65,223396300,107.42
2010-03-26,116.87,117.42,116.12,116.58,205808500,107.36
2010-03-29,117.17,117.53,116.69,117.32,134513500,108.04
2010-03-30,117.46,117.83,116.91,117.4,145772500,108.11
2010-03-31,116.95,117.52,116.61,117.0,161078700,107.74
2010-04-01,117.8,118.25,117.1,117.8,161215200,108.48
2010-04-05,118.25,118.84,117.92,118.76,105847600,109.36
2010-04-06,118.42,119.25,118.29,119.04,110384200,109.62
2010-04-07,118.8,119.36,117.81,118.36,184576300,109.0
2010-04-08,117.95,118.97,117.6,118.77,158704000,109.37
2010-04-09,119.02,119.6,118.8,119.55,133006500,110.09
2010-04-12,119.7,120.05,119.56,119.74,110279000,110.27
2010-04-13,119.62,120.04,119.0,119.83,125043600,110.35
2010-04-14,120.27,121.19,120.08,121.19,161609000,111.6
2010-04-15,120.99,121.57,120.95,121.29,144615300,111.69
2010-04-16,120.86,121.29,118.75,119.36,366786700,109.92
2010-04-19,119.01,119.93,118.47,119.81,217947800,110.33
2010-04-20,120.56,120.98,119.87,120.88,157708000,111.32
2010-04-21,120.95,121.23,119.99,120.66,192910100,111.11
2010-04-22,119.81,121.17,119.12,121.02,115360300,111.45
2010-04-23,120.94,121.86,120.63,121.81,177335500,112.17
2010-04-26,121.85,122.12,121.23,121.35,143457300,111.75
2010-04-27,120.65,121.34,118.25,118.48,355853300,109.11
2010-04-28,119.05,119.68,118.27,119.38,300674100,109.94
2010-04-29,120.1,121.11,120.07,120.86,193775000,111.3
2010-04-30,120.88,121.01,118.78,118.81,270000900,109.41
2010-05-03,119.38,120.68,119.2,120.35,182747900,110.83
2010-05-04,119.01,119.03,116.92,117.52,360353400,108.22
2010-05-05,116.56,117.8,115.97,116.82,328973200,107.58
2010-05-06,116.26,117.0,105.0,112.94,647356600,104.0
2010-05-07,112.64,113.77,109.41,111.26,637558800,102.46
2010-05-10,115.81,116.65,114.91,116.16,396159600,106.97
2010-05-11,115.07,117.36,114.91,115.83,317849800,106.67
2010-05-12,116.29,117.62,116.09,117.45,235607100,108.16
2010-05-13,117.13,117.68,115.89,115.99,234452500,106.81
2010-05-14,115.12,115.33,112.87,113.89,345601400,104.88
2010-05-17,114.2,114.52,111.77,113.95,325739800,104.93
2010-05-18,114.88,115.22,112.03,112.4,360556800,103.51
2010-05-19,111.77,112.77,110.36,111.76,394742700,102.92
2010-05-20,109.38,109.89,107.47,107.54,530418300,99.03
2010-05-21,105.91,109.38,105.36,109.11,500909400,100.48
2010-05-24,108.52,109.39,107.61,107.71,269823000,99.19
2010-05-25,105.11,107.87,104.38,107.82,396505200,99.29
2010-05-26,108.48,109.47,106.85,107.17,349719300,98.69
2010-05-27,109.19,110.8,108.78,110.76,300870500,102.0
2010-05-28,110.64,110.72,108.85,109.37,297933500,100.72
2010-06-01,108.35,109.95,107.37,107.53,277909400,99.02
2010-06-02,108.08,110.34,107.51,110.33,240243700,101.6
2010-06-03,110.65,111.06,109.58,110.71,226618300,101.95
2010-06-04,108.61,109.33,106.46,106.82,398475600,98.37
2010-06-07,107.2,107.61,105.41,105.49,264609100,97.14
2010-06-08,105.57,106.83,104.65,106.62,357774300,98.18
2010-06-09,107.24,108.28,105.6,106.05,268023300,97.66
2010-06-10,107.86,109.28,106.04,109.15,317890600,100.51
2010-06-11,108.19,109.75,108.12,109.68,214128200,101.0
2010-06-14,110.52,111.12,109.4,109.51,207196100,100.85
2010-06-15,110.28,112.1,110.09,112.0,238268700,103.14
2010-06-16,111.42,112.42,111.2,111.96,216374000,103.1
2010-06-17,112.28,112.33,111.05,112.14,263185800,103.27
2010-06-18,111.83,112.13,111.37,111.73,174006600,103.38
2010-06-21,113.12,113.2,110.79,111.41,213140700,103.08
2010-06-22,111.41,111.9,109.41,109.57,239355400,101.38
2010-06-23,109.64,110.03,108.48,109.23,254639900,101.07
2010-06-24,108.69,108.83,107.14,107.42,268523600,99.39
2010-06-25,107.74,108.42,106.77,107.87,238726500,99.81
2010-06-28,108.03,108.32,107.14,107.53,169218600,99.49
2010-06-29,106.02,107.51,103.55,104.21,373649500,96.42
2010-06-30,103.92,104.88,102.88,103.22,284101700,95.51
2010-07-01,103.15,103.49,101.13,102.76,382924800,95.08
2010-07-02,103.11,103.42,101.62,102.2,233385200,94.56
2010-07-06,103.64,104.37,101.88,102.87,256935300,95.18
2010-07-07,103.13,106.24,103.02,106.11,253769400,98.18
2010-07-08,107.0,107.28,105.91,107.16,210842100,99.15
2010-07-09,107.13,107.97,106.93,107.96,144999900,99.89
2010-07-12,107.6,108.24,107.15,108.03,131283600,99.96
2010-07-13,109.15,110.09,108.93,109.66,213025900,101.46
2010-07-14,109.31,110.08,108.86,109.65,184426800,101.46
2010-07-15,109.61,110.06,108.17,109.68,232337900,101.48
2010-07-16,109.09,109.21,106.45,106.66,282693400,98.69
2010-07-19,107.05,107.63,106.22,107.29,186709000,99.27
2010-07-20,105.87,108.56,105.82,108.48,258162400,100.37
2010-07-21,109.04,109.07,106.63,107.07,264527000,99.07
2010-07-22,108.34,109.94,108.33,109.46,274781300,101.28
2010-07-23,109.24,110.57,108.93,110.41,222020800,102.16
2010-07-26,110.6,111.67,110.29,111.56,184445700,103.22
2010-07-27,112.17,112.29,111.11,111.55,204855600,103.21
2010-07-28,111.32,111.66,110.46,110.83,163056200,102.55
2010-07-29,111.52,111.82,109.41,110.29,220149100,102.05
2010-07-30,109.17,110.86,108.98,110.27,220070600,102.03
2010-08-02,111.99,112.94,111.54,112.76,188263200,104.33
2010-08-03,112.48,112.77,111.85,112.22,146657300,103.83
2010-08-04,112.53,113.11,112.16,112.97,158171700,104.53
2010-08-05,112.25,112.91,112.08,112.85,140473800,104.42
2010-08-06,111.74,112.57,110.92,112.39,239728300,103.99
2010-08-09,112.92,113.18,112.32,112.99,120800400,104.55
2010-08-10,112.03,112.98,111.37,112.38,242916300,103.98
2010-08-11,110.65,110.69,109.12,109.3,273406900,101.13
2010-08-12,107.65,109.02,107.6,108.63,239542600,100.51
2010-08-13,108.29,108.96,108.18,108.31,158698500,100.22
2010-08-16,107.57,108.61,107.18,108.26,147895300,100.17
2010-08-17,109.19,110.39,108.88,109.59,172270300,101.4
2010-08-18,109.54,110.38,108.91,109.79,182922100,101.58
2010-08-19,109.22,109.49,107.43,107.88,265847600,99.82
2010-08-20,107.56,107.94,106.75,107.53,209714200,99.49
2010-08-23,108.04,108.57,107.07,107.12,163490300,99.11
2010-08-24,105.95,106.39,104.97,105.53,280677800,97.64
2010-08-25,104.95,106.34,104.29,105.94,272234800,98.02
2010-08-26,106.44,106.58,104.88,105.23,224439500,97.37
2010-08-27,105.89,106.97,104.31,106.86,272649000,98.87
2010-08-30,106.58,106.91,105.3,105.31,167238600,97.44
2010-08-31,104.92,105.98,104.49,105.31,273933100,97.44
2010-09-01,106.73,108.61,106.66,108.46,256828100,100.35
2010-09-02,108.72,109.49,108.49,109.47,156112200,101.29
2010-09-03,110.54,110.99,109.95,110.89,212197300,102.6
2010-09-07,110.37,110.51,109.55,109.64,141973700,101.45
2010-09-08,109.86,110.85,109.81,110.41,149924400,102.16
2010-09-09,111.65,111.68,110.62,110.92,147017900,102.63
2010-09-10,111.12,111.61,110.87,111.48,127819000,103.15
2010-09-13,112.58,112.95,112.13,112.72,178503500,104.3
2010-09-14,112.5,113.29,112.08,112.65,209823600,104.23
2010-09-15,112.32,113.21,111.98,113.08,168608400,104.63
2010-09-16,112.73,113.12,112.35,113.05,199962900,104.6
2010-09-17,113.04,113.15,112.18,112.49,195836900,104.64
2010-09-20,112.88,114.46,112.52,114.21,214555200,106.24
2010-09-21,114.3,114.84,113.51,113.98,268389100,106.03
2010-09-22,113.8,114.44,113.1,113.42,191322400,105.51
2010-09-23,112.49,113.67,112.18,112.5,202354300,104.65
2010-09-24,113.75,114.9,113.65,114.82,209671800,106.81
2010-09-27,114.86,114.99,114.16,114.27,128761800,106.3
2010-09-28,114.42,115.04,113.18,114.67,209207500,106.67
2010-09-29,114.38,114.91,114.02,114.47,179665800,106.48
2010-09-30,115.05,115.79,113.59,114.13,287106700,106.17
2010-10-01,114.99,115.12,113.93,114.61,174638700,106.61
2010-10-04,114.37,114.85,113.18,113.75,166153200,105.81
2010-10-05,114.8,116.32,114.67,116.04,229634100,107.94
2010-10-06,116.02,116.33,115.56,116.03,148626600,107.93
2010-10-07,116.5,116.53,115.19,115.89,164860000,107.8
2010-10-08,116.05,116.86,115.61,116.54,177760100,108.41
2010-10-11,116.72,116.97,116.25,116.65,103098300,108.51
2010-10-12,116.27,117.35,115.65,117.01,182210000,108.84
2010-10-13,117.66,118.55,117.38,117.92,194347200,109.69
2010-10-14,117.81,118.01,116.72,117.46,217764300,109.26
2010-10-15,118.28,118.35,116.76,117.7,243705000,109.49
2010-10-18,117.74,118.67,117.31,118.28,141204800,110.03
2010-10-19,117.19,117.85,116.02,116.73,280604700,108.58
2010-10-20,116.94,118.44,116.87,117.87,200051800,109.64
2010-10-21,118.4,119.09,117.21,118.13,221585500,109.89
2010-10-22,118.31,118.53,118.0,118.35,108212400,110.09
2010-10-25,119.14,119.76,118.61,118.7,151145700,110.42
2010-10-26,118.1,118.84,117.87,118.72,158982900,110.44
2010-10-27,117.89,118.51,117.26,118.38,190024000,110.12
2010-10-28,119.06,119.11,117.83,118.4,168576000,110.14
2010-10-29,118.28,118.72,118.07,118.49,144305500,110.22
2010-11-01,119.07,119.75,117.85,118.53,174074800,110.26
2010-11-02,119.42,119.75,119.1,119.47,158345900,111.13
2010-11-03,119.68,120.02,118.45,119.95,226702800,111.58
2010-11-04,121.28,122.32,119.97,122.26,215039400,113.73
2010-11-05,122.34,122.92,122.18,122.72,180654100,114.16
2010-11-08,122.34,122.69,121.94,122.49,156107100,113.94
2010-11-09,122.82,122.95,121.12,121.61,186621600,113.12
2010-11-10,121.58,122.16,120.66,122.1,221387400,113.58
2010-11-11,121.05,121.82,120.68,121.64,158017600,113.15
